seed,run_dir,method,group,n,acc,macro_f1,lambda_align
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,Concat,Low-D,1455.0,0.5505154639175258,0.4867950324757799,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,Concat,Mid-D,1716.0,0.6124708624708625,0.5961193648285118,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,Concat,High-D,1472.0,0.6875,0.6780351990451328,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,Concat,Overall,4643.0,0.6168425586905019,0.616589041394353,
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,UncondAlign,Low-D,1455.0,0.5553264604810997,0.4853500189742584,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,UncondAlign,Mid-D,1716.0,0.5990675990675991,0.5749943309689813,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,UncondAlign,High-D,1472.0,0.6820652173913043,0.6711995854564826,0.1
1,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201641,UncondAlign,Overall,4643.0,0.6116734869696318,0.6080876752896204,0.1
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,Concat,Low-D,1394.0,0.5358680057388809,0.4547162078330966,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,Concat,Mid-D,1666.0,0.5942376950780313,0.5557908528364885,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,Concat,High-D,1583.0,0.6948831332912192,0.692246383066248,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,Concat,Overall,4643.0,0.6110273530045229,0.6067673433926103,
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,UncondAlign,Low-D,1394.0,0.5494978479196556,0.4918721700984156,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,UncondAlign,Mid-D,1666.0,0.6008403361344538,0.5735020251465781,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,UncondAlign,High-D,1583.0,0.7005685407454201,0.6983074790734275,0.01
2,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_201901,UncondAlign,Overall,4643.0,0.6194270945509369,0.6191415952173872,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,Concat,Low-D,1482.0,0.5357624831309041,0.4732890460649218,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,Concat,Mid-D,1628.0,0.5915233415233415,0.5757271625373206,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,Concat,High-D,1533.0,0.684931506849315,0.6663779682291952,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,Concat,Overall,4643.0,0.6045660133534353,0.6061512709399813,
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,UncondAlign,Low-D,1482.0,0.5593792172739541,0.4968619434509324,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,UncondAlign,Mid-D,1628.0,0.6093366093366094,0.5873848233488626,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,UncondAlign,High-D,1533.0,0.6881930854533594,0.6816993697729917,0.01
3,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202116,UncondAlign,Overall,4643.0,0.6194270945509369,0.6189603854226047,0.01
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,Concat,Low-D,1404.0,0.5356125356125356,0.4692613494008142,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,Concat,Mid-D,1678.0,0.5947556615017878,0.5705474689330242,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,Concat,High-D,1561.0,0.6918641896220371,0.6860881708576961,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,Concat,Overall,4643.0,0.6095197070859358,0.6074883899962364,
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,UncondAlign,Low-D,1404.0,0.5349002849002849,0.4915511396880919,0.05
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,UncondAlign,Mid-D,1678.0,0.6042908224076281,0.5899326390764169,0.05
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,UncondAlign,High-D,1561.0,0.6886611146700833,0.6814597083776671,0.05
4,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202303,UncondAlign,Overall,4643.0,0.6116734869696318,0.6127504878817889,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,Concat,Low-D,1417.0,0.544107268877911,0.5285691097988998,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,Concat,Mid-D,1657.0,0.5914302957151478,0.571819044747348,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,Concat,High-D,1569.0,0.7049075844486934,0.7023221826694237,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,Concat,Overall,4643.0,0.6153349127719147,0.6169062729086143,
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,UncondAlign,Low-D,1417.0,0.5405786873676782,0.5117030880275245,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,UncondAlign,Mid-D,1657.0,0.5835847917923959,0.5605528359638224,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,UncondAlign,High-D,1569.0,0.6947100063734863,0.6895763472120279,0.05
5,C:\Users\Administrator\Desktop\论文\code\disagreement_phenomenon\outputs\mosei\multi_seed_20260614_201634\runs\mosei\20260614_202514,UncondAlign,Overall,4643.0,0.6080120611673487,0.6081434237092076,0.05
